"gene_symbol","Control_GSM300173","Control_GSM300177","Control_GSM300181","Control_GSM300186","Control_GSM300189","Control_GSM300192","Control_GSM300196","Control_GSM300204","Control_GSM300208","Control_GSM300214","Control_GSM300218","Control_GSM300222","Control_GSM300228","Control_GSM300230","Control_GSM300234","Control_GSM300238","Control_GSM300242","Control_GSM300248","Control_GSM300252","Control_GSM300258","Control_GSM300261","Control_GSM300267","Control_GSM300271","Control_GSM300275","Control_GSM300279","Control_GSM300285","Control_GSM300289","Control_GSM300293","Control_GSM300297","Control_GSM300300","Control_GSM300304","Control_GSM300308","Control_GSM300312","Control_GSM300316","Control_GSM300320","Control_GSM300324","Control_GSM300328","Control_GSM300332","Control_GSM300338","AD_GSM1176196","AD_GSM1176197","AD_GSM1176198","AD_GSM1176199","AD_GSM1176200","AD_GSM1176201","AD_GSM1176202","AD_GSM1176203","AD_GSM1176204","AD_GSM1176205","AD_GSM1176206","AD_GSM1176207","AD_GSM1176208","AD_GSM1176209","AD_GSM1176210"
"DNAAF8",0.81116724,0.8165376,0.7984228,0.9162245,0.9432152,0.8371122,0.8803277,0.8593382,0.8421777,0.7994773,0.84519964,0.97356683,0.8878277,0.82722855,0.941794,0.72975713,0.86813176,0.8374278,0.8377437,0.9043832,0.8252034,0.93049866,0.8707544,0.86404985,0.8831538,0.7763071,0.921769,0.8399573,0.91484404,0.9433929,0.87718034,0.8182325,0.98910695,0.87916654,0.8737142,0.80659246,0.75324035,0.8278526,0.9361292,0.58965015,0.5784196,0.58159024,0.5918902,0.5708369,0.5975165,0.6465935,0.5863248,0.5524147,0.6203244,0.58400774,0.5886503,0.599853,0.63097817,1.0196291
"ZNF345",0.5259284,0.48442766,0.48442766,0.5516214,0.5399943,0.56403005,0.5424431,0.528612,0.7020363,0.499545,0.5497526,0.5417278,0.7868536,0.5546455,0.53553367,0.461342,0.5409112,0.5388756,0.7097545,0.56744295,0.5102049,0.5719541,0.55600643,0.51271194,0.5565309,0.4699451,0.5404018,0.62271136,0.5848205,0.53502876,0.5623317,0.60057425,0.5902475,0.54593104,0.5628618,0.5707688,0.4987924,0.51678777,0.5149399,0.7517917,0.70498186,0.87846845,0.96517843,0.6925991,0.777332,0.752217,0.7328996,0.67341405,0.7662437,0.72397286,0.82626027,0.6813315,0.9261788,0.92748445
"MYEOV",0.64538395,0.58445567,0.63764393,0.6938383,0.6526026,1.0343564,0.6743653,0.6492889,0.6526026,0.6061131,0.65605664,0.744245,0.8324341,0.6322571,0.6480666,0.57084364,0.6671574,0.7153557,0.79291356,0.7059772,0.63154227,0.6788296,0.67487407,0.70958006,0.71805805,0.616485,0.6930544,0.6480661,0.7047808,0.61811423,0.67985463,0.63285345,0.6521106,0.67081463,0.6822939,0.62326276,0.6345262,0.63500476,0.66139674,1.0011666,0.939538,0.92425287,0.8645934,0.8984835,0.8891464,0.8511607,0.9219916,0.8823676,0.96284914,0.91368526,0.9367079,0.92529947,0.9423213,1.3089793
"LINC02987",2.865445,2.6855102,2.1657434,2.8708506,4.9372387,1.4005907,3.2746098,2.2383857,2.0942721,2.6764119,2.5993352,3.4762754,4.3341904,2.568646,3.28946,2.1788483,3.3736172,2.8353515,2.7140114,3.327505,2.6987047,2.6997235,3.2140596,3.4625394,3.485462,3.2801702,2.6723802,2.2939222,4.3760657,2.381169,2.203635,2.0793235,1.5243096,2.6303904,3.09338,3.0110984,2.316523,1.8650047,1.8650047,0.7462343,0.7241972,1.2696425,0.9386017,1.1189876,1.0284175,0.88355845,0.8870637,0.76072246,1.1359915,0.70334136,0.71524173,0.6892956,0.5832125,0.9255006
"GIPC3",1.5058129,1.3616006,1.4200636,1.5169246,1.4676956,1.4652076,1.6883764,1.4389273,1.4511873,1.3752733,1.7104828,1.8364781,1.441915,1.4367592,1.2224096,1.3729413,1.6763241,1.5796733,1.573135,1.5991495,1.3799479,1.3523905,1.5177834,2.0051165,1.3521358,1.390918,1.6668701,1.5083694,1.5598459,1.3457774,1.4899998,1.7899903,1.4599679,1.7645261,1.4939371,1.4402847,1.1147561,1.5979445,1.7088718,1.0939343,1.0504805,1.0267879,1.0516204,1.0548468,1.1143022,1.0190746,1.0408212,0.99140716,1.1475918,1.0636325,1.0291138,1.0578333,1.1780415,1.0892011
"NHSL1",0.9970692,0.95009106,0.94901687,1.0365531,0.9804792,1.0355763,1.0057536,0.9784476,0.97568524,0.9227297,0.99519134,1.1418097,0.98604006,0.9590892,0.9852968,0.9334021,1.0082215,0.98214424,0.9456234,1.0586723,0.98771465,0.9272639,1.0076514,0.99537885,1.0078417,0.924471,1.038314,0.9736634,1.0896542,0.95350015,1.0406655,0.9475868,0.9823291,1.0185375,1.0118394,0.9258662,0.9490173,0.95764387,1.0529002,0.8249447,0.85438484,0.84413755,0.8394003,0.81689715,0.8747468,0.84716743,0.8425486,0.82261485,0.8952796,0.8408028,0.8740987,0.7828224,0.93410283,0.8736045
"KHSRP",1.6634637,1.2984622,1.3092774,1.4214425,1.3453082,1.3685867,1.6572038,1.3473376,1.6565788,1.2696558,1.3670399,1.795448,1.3349495,1.3167033,1.3331891,1.46304,1.5013195,1.3181938,1.2994412,1.4844327,1.3018935,1.2824057,1.381809,1.3755711,1.3909572,1.221753,1.4338236,1.6037232,1.7765926,1.2710927,1.4017508,1.2901658,1.357537,1.3805068,1.4062496,1.2913816,1.2962611,1.3068115,1.3626658,0.9261403,0.98280513,0.9688234,1.2384892,0.93438345,1.1097742,0.7173574,0.9668174,0.9448334,1.0018871,0.96608806,0.97910625,0.9839173,1.2850366,1
"NECTIN1",0.53205615,0.49648857,0.51702607,0.5967873,0.5352757,0.54453784,0.49229437,0.5420792,0.51149994,0.49044165,0.5427956,0.5979134,0.58718944,0.52340066,0.5329598,0.4690107,0.5614252,0.5027995,0.5160521,0.5984771,0.5230062,0.508136,0.5491772,0.53456974,0.5608964,0.47793669,0.5797102,0.571463,0.59768814,0.4950865,0.5661019,0.5161496,0.5558434,0.57611436,0.5628029,0.4976129,0.5169287,0.5212344,0.5477298,0.62674046,0.65723443,0.63999367,0.5765825,0.61852413,0.6155909,0.66483617,0.65562594,0.62132865,0.6877844,0.6483734,0.675321,0.6534044,0.6267554,0.68120307
"MESD",1.367373,1.3390566,1.3115735,1.4425789,1.2819929,1.3915582,1.4044727,1.0547376,1.3899852,1.2668563,1.4231303,1.4116399,1.2936461,1.344368,1.3000033,1.2387515,1.4002427,1.3499554,1.6451536,1.4733621,1.3095964,1.5887657,1.3912961,1.4097785,1.3973421,1.3100903,1.5311313,1.344367,1.4672649,1.268051,1.4079195,1.3257432,1.4333614,1.4960337,1.5291119,1.3192604,1.3247441,1.2488345,1.1766096,1.0310125,1.050238,0.95180607,1.0714334,1.0411699,0.9993725,1.0740654,0.78264046,1.0335422,1.0858744,1.0409728,1.0454966,1.0645903,1.4411999,1.073863
"IGHM",0.87123835,0.81668353,0.7981142,0.9160428,0.8496646,0.8679594,0.8798213,0.8620883,0.8466268,0.75993675,0.8681231,0.89083713,0.8952142,0.8371039,0.8480646,0.8084113,0.87469435,0.82007754,0.8247288,0.93189377,0.82956284,0.8081068,0.87998724,0.8722245,0.86910594,0.80218685,0.9059105,0.86681455,0.93418074,0.797813,0.8891594,0.8259737,0.87123847,0.88114905,0.89050126,0.75195575,0.82737654,0.8273764,0.8669784,1.000228,0.95040953,0.9758273,0.9376966,0.93688965,0.93362564,0.9782225,0.96722007,0.9462971,1.0234998,1.1493202,0.97288865,0.99028325,0.9681643,1.0024931
"MMP24",0.9814617,0.8862962,0.9288931,1.0228311,0.8794717,1.157918,1.0170627,0.98201615,0.96658796,0.88512695,0.99806815,1.0464319,1.3125777,0.9616803,0.9770312,0.6791578,1.0282447,0.9855407,0.9492514,0.97537416,0.95607615,0.9281929,1.0069509,0.90282303,1.1019065,0.7934471,1.042101,0.96023077,1.0549493,0.9106861,1.0270829,1.0503848,0.9770307,1.04387,1.0205201,0.91567856,0.95032614,0.9584227,1.0963117,0.7310579,0.71740466,0.7147045,0.76079816,0.6788516,0.8020381,0.7248818,0.71134436,0.591681,0.75729024,0.7477851,0.73812044,0.605219,0.89184964,0.75843334
"SERPINF2",0.79978067,0.5749199,0.67534965,0.8026506,0.85497755,0.8091838,0.8707564,0.7952698,0.79063594,0.748994,0.8076598,0.82785493,0.7945205,0.7829228,0.84138644,0.7569429,0.8140802,0.8110165,1.0296363,0.84265584,0.8660085,0.75026584,0.8183888,0.7550905,0.8078123,0.75040734,0.8320795,0.78899777,0.8417038,1.0994526,0.825206,0.7669986,0.79332334,0.8131597,0.8131599,0.7696057,0.7694609,0.7964705,0.8041652,0.5784585,0.51213044,0.5838264,0.6589586,0.56434757,0.689571,0.5774779,0.5757387,0.5633905,0.60068554,0.6992599,0.5763899,0.5883569,0.7131896,0.5966226
"NDUFB7",1.2193167,1.118242,1.1915926,1.3280241,1.1572767,1.3059275,1.3143255,1.2644985,1.4983263,1.2376126,1.2922133,1.3235258,1.4154024,1.2469807,1.3717935,1.3905401,1.3046973,1.2936755,1.2317929,1.3676612,1.2465104,1.2012917,1.3103669,1.3227772,1.3489686,1.144907,1.2846838,1.3824375,1.3589233,1.2051479,1.3813963,1.2225392,1.3406016,1.2953833,1.3096263,1.190694,1.2817804,1.3215315,1.5085298,1.461847,1.5695271,1.5183033,1.3342226,1.6301441,1.3327094,1.5906768,1.5145884,1.6009053,1.7133294,1.5060453,1.6042287,1.5237522,1.7020793,1.6574135
"SLC25A37",1.4090788,1.2869257,1.3341095,1.4486749,1.3574506,1.3503038,1.4069552,1.3654064,1.3457297,1.3054968,1.3971756,1.4264526,1.4891031,1.3469986,1.3513229,0.99268377,1.5653872,1.349286,1.2966664,1.4588155,1.3171157,1.2893536,1.4045702,1.3592433,1.5837919,1.3208458,1.4424077,1.2710112,1.4862989,1.0763054,1.409345,1.4651544,1.5128725,1.5474877,1.411472,1.2815984,1.3243369,1.4098767,1.3718576,1.138217,1.124142,1.1102409,1.169652,1.0923868,1.1641332,1.0963061,1.0994111,1.073198,1.1607536,1.0971328,1.1169593,1.0601273,0.9904448,1.1356447
"CROCCP3",0.66698605,0.6440032,0.6395265,0.6997019,0.6578697,0.6752096,0.68109065,0.66247433,0.6629744,0.6378408,0.5510323,0.69300675,0.6733028,0.6460704,0.65774584,0.62640065,0.6809622,0.671022,0.68443704,0.7190928,0.63856256,0.6255747,0.67852753,0.67292225,0.68121904,0.6114659,0.7015515,0.6632242,0.72153735,0.64546144,0.6951005,0.63627946,0.75550324,0.6875408,0.6898782,0.62181187,0.78143364,0.6835347,0.67051625,0.80355185,0.79766536,0.7946629,0.68975145,0.7599394,0.7318327,0.79286754,0.761517,0.7606556,0.83301353,0.79316664,0.9591681,0.80856633,0.9076532,0.8250426
"FAM170A",0.9631086,0.90195066,0.8403874,1.0020032,0.9494078,0.9631086,0.9797742,0.95461214,0.9449437,0.8956809,0.9667469,0.99166745,0.9497658,0.9307988,0.9465485,0.9041634,0.98254883,0.9504823,0.91790336,1.0535324,0.91582924,0.89838684,0.97811306,0.9683888,0.9957889,0.8821073,1.0251235,0.93979126,1.027639,0.89449966,1.001815,0.91652036,0.97922015,1.0471958,1.0046517,0.90416366,0.9206769,0.9220663,0.9593035,1.0950565,1.0080762,1.087034,0.9903971,1.0537418,1.0391557,1.0938185,1.0929945,1.054735,1.1399244,1.0899072,1.1077223,1.1129555,1.0735283,1.1264652
"CILP",1.3383381,1.2692845,1.2628399,1.6564059,1.3054444,1.3188019,1.3375812,1.3042138,1.3074148,1.2415936,1.4148786,1.4736836,1.3121057,1.2842073,1.2842077,1.2190948,1.3469441,1.2919782,1.244171,1.4071636,1.3730958,1.2322661,1.4456159,1.3322964,1.3398528,1.2467538,1.375169,1.3071676,1.4066336,1.2397225,1.354329,1.2654614,1.3138384,1.3540728,1.3553503,1.2519352,1.0535765,1.2652228,1.3188022,1.0727637,1.0915322,1.1605016,1.0987647,1.2041864,1.1361846,1.0833318,1.080273,1.0533241,1.0301509,1.0831274,1.1394727,1.1060319,1.156791,1.1125149
"BLTP3A",0.969061,0.8427167,0.8713118,0.9987372,1.0747334,1.0133408,0.9147393,0.95906454,0.83748984,1.189459,0.9914209,0.99779624,1.0666591,0.9452436,0.9661425,0.94310707,0.9873174,0.9525777,0.9206212,1.0328206,0.92497057,0.9531166,0.98918056,0.88421905,0.98638743,0.76014376,0.99610525,0.88555306,1.0439794,0.9281146,0.993105,0.842399,0.9628693,0.99404085,0.69437754,0.90975153,0.9119845,0.92427343,0.96395916,1.1452743,1.0751804,1.4567407,1.1900606,1.1173365,1.3647708,1.1535085,1.1283438,1.2487924,1.2792943,1.1921997,1.1441951,1.1454899,1.0273635,1.168171
"CXCR6",0.46717608,0.46576914,0.47705543,0.52282965,0.4900913,0.49913597,0.5062436,0.4961336,0.4871436,0.46192142,0.4990419,0.51219565,0.49669534,0.48220938,0.48640954,0.4596627,0.5099794,0.47849658,0.47534958,0.5345907,0.4867762,0.46559346,0.50710326,0.52877724,0.5046237,0.46026975,0.5196852,0.4850357,0.5321776,0.45355108,0.51335573,0.4753497,0.49932417,0.5131619,0.52877706,0.4698257,0.47669584,0.47759533,0.49772656,0.65550214,0.66245914,0.6527886,0.44266114,0.6349468,0.4580831,0.66033936,0.6535281,0.6390293,0.685196,0.65414387,0.66333383,0.66596514,0.473504,0.67443055
"RFXAP",1.1701312,0.92272335,1.1030815,1.2639256,1.3722057,1.4330144,1.1609025,1.2002938,1.3134816,1.126833,1.1776556,1.1906035,1.2169265,1.1780995,1.1794333,1.1366472,1.2206033,1.1935246,1.1304499,1.3279223,1.2644019,1.1085016,1.2052826,1.164629,1.3608704,1.1270452,1.4602864,1.1881366,1.286524,1.4086388,1.237052,1.0989302,1.1641899,1.2617825,1.2284524,1.2952844,1.2176156,1.0046098,1.1937499,1.5228713,1.5332416,1.5343974,1.0612844,1.5509765,1.2060865,1.6078408,1.5828791,1.5724677,1.650532,1.7445967,1.5975679,1.6166555,1.683294,1.611483
"GAS2L2",1.0304593,0.97508234,0.9859887,1.0620152,1.11916,1.0439509,1.0490806,1.0242606,1.0154173,0.9621175,1.0384549,1.0646216,1.2113781,0.994014,1.0110239,0.97104627,1.0596155,1.0231034,0.9859883,1.1005383,0.9869184,0.9710465,1.074907,1.0370854,1.0826352,0.92233354,1.0805963,0.96684486,1.1519115,0.9572326,1.059616,0.98135257,1.0720733,1.070054,1.060215,0.97287863,0.9841318,0.9828338,1.0188689,0.89056206,0.89375764,0.8932519,0.9164733,0.8626357,0.93168414,0.89510643,0.8793843,0.8401651,0.9173152,0.87954944,0.86671036,0.901542,0.95362014,0.9360072
"MYOD1",0.6939416,0.64950836,0.67104113,0.7533912,0.68989795,0.7040885,0.716137,0.7014385,0.6340226,0.64938575,0.707015,0.72442013,0.7271563,0.6794427,0.68407,0.63930345,0.71816504,0.62748235,0.67116743,0.7514052,0.6733221,0.661121,0.71465343,0.74365455,0.72278327,0.5507361,0.74253416,0.68239516,0.7662833,0.64389986,0.721694,0.6687675,0.7347354,0.7318325,0.72825444,0.6522075,0.67192733,0.677141,0.70302755,0.5653261,0.5860535,0.57294375,0.5697534,0.55633944,0.6377639,0.5876023,0.5807744,0.55591965,0.6138731,0.58066446,0.58993316,0.5901556,0.64785796,0.6000281
"ALPP",0.71582085,0.6231978,0.66608214,0.7017901,0.664953,0.68338096,0.6918068,0.6157232,0.66520387,0.63398135,0.68273723,0.70060056,0.8016989,0.6290997,0.66482776,0.6151433,0.69245917,0.80746275,0.80654985,0.768693,0.655988,0.63865995,0.6885538,0.68312347,0.73275167,0.59093136,0.7097739,0.77802414,0.72083145,0.63171446,0.6434948,0.6482429,0.6683462,0.6854453,0.688554,0.51031435,0.6337424,0.65834194,0.6696077,0.835268,0.8582539,0.81535256,0.82554257,0.97785383,0.7700194,0.82774353,0.812132,0.77693665,0.86263394,0.83353734,0.8347956,0.83763313,1.1909708,0.8685084
"QRICH2",1.4069421,1.373656,1.2939682,1.8671142,2.2312255,2.2852905,1.4618303,1.3444481,1.0736604,1.2811036,1.4197317,1.4563285,1.3856201,1.3811868,1.3780661,1.1658603,1.5594808,1.3343484,1.8167664,1.5180005,1.2760415,1.2489097,1.4372362,1.1764587,1.6418452,1.9030074,1.8004012,1.2413976,1.9195826,1.2818284,1.4527647,1.2823117,1.4935879,1.4593518,1.4472969,1.5355579,1.2847315,1.3669393,1.4194642,0.82921326,0.8128067,1.478072,0.8401511,0.8071571,0.7796523,0.89062905,0.83864635,0.582304,0.87713206,0.9641981,0.85573494,0.60787916,0.93493825,0.84547216
"CSAG3",0.9324905,0.9739971,0.9023978,0.97069734,0.8910713,0.97749186,0.9668619,0.93126035,0.9130077,1.0133309,1.0520698,1.0520701,0.9289811,1.165255,0.9418548,0.86247784,0.9754669,0.9550861,0.89393157,0.9545457,0.89629394,0.88454396,0.91128796,0.9516713,1.1912432,1.0076162,0.98768073,0.9152476,1.0277611,0.8668793,0.96286035,0.90086806,0.8902316,0.9610462,0.9169751,0.8803844,0.90341944,0.8991714,0.9752834,0.77572465,0.80129045,0.78159577,0.74842334,0.77411777,0.80482316,0.8055315,0.8070519,0.7747012,0.8219459,0.7433673,0.8156169,0.54515314,0.8355449,0.82024294
"CCDC40",0.7324345,0.7580016,0.7630196,0.9413361,0.80894136,0.8260476,0.8419272,0.8068089,0.80225897,0.7496169,0.82916826,0.8478207,0.6743839,0.7953314,0.8104679,0.7491929,0.8489402,0.79833585,0.7843129,0.8754325,0.81783503,0.7920399,0.8376527,0.8301069,0.8324574,0.73797846,0.8585978,0.80453056,0.5906756,0.8457451,0.85295105,0.7730099,0.8382844,0.8307326,0.85246885,0.7592885,0.63814306,0.8263593,0.832144,0.6608762,0.6225376,0.6266585,0.58679706,0.6180941,0.7158927,0.64816695,0.64172304,0.60941553,0.6671351,0.6456058,0.7485823,0.695649,0.63967186,0.65331954
