"gene_symbol","Control_GSM300167","Control_GSM300176","Control_GSM300180","Control_GSM300188","Control_GSM300191","Control_GSM300195","Control_GSM300199","Control_GSM300201","Control_GSM300203","Control_GSM300207","Control_GSM300211","Control_GSM300213","Control_GSM300217","Control_GSM300221","Control_GSM300225","Control_GSM300229","Control_GSM300233","Control_GSM300237","Control_GSM300241","Control_GSM300245","Control_GSM300247","Control_GSM300250","Control_GSM300251","Control_GSM300254","Control_GSM300260","Control_GSM300264","Control_GSM300266","Control_GSM300270","Control_GSM300274","Control_GSM300278","Control_GSM300282","Control_GSM300284","Control_GSM300288","Control_GSM300292","Control_GSM300296","Control_GSM300299","Control_GSM300303","Control_GSM300307","Control_GSM300311","Control_GSM300315","Control_GSM300319","Control_GSM300323","Control_GSM300327","Control_GSM300331","Control_GSM300335","Control_GSM300341","Control_GSM318840","Control_GSM350078","AD_GSM1176255","AD_GSM1176256","AD_GSM1176257","AD_GSM1176258","AD_GSM1176259","AD_GSM1176260","AD_GSM1176261","AD_GSM1176262","AD_GSM1176263","AD_GSM1176264","AD_GSM1176265","AD_GSM1176266","AD_GSM1176267","AD_GSM1176268","AD_GSM1176269","AD_GSM1176270","AD_GSM1176271","AD_GSM1176272","AD_GSM1176273","AD_GSM1176274","AD_GSM1176275"
"ONECUT3",1.5082798,1.4080049,1.2435029,1.2776284,1.3056511,1.2506709,1.3124473,1.2613848,1.2835653,1.2322551,1.3163482,1.3022661,1.2759714,1.4166468,1.3352782,1.3266394,1.5413612,1.3587574,1.3409858,1.4445006,1.3650701,1.4030527,1.3487163,1.4528285,1.4720825,1.3864996,1.4132366,1.3898464,1.4330285,1.4690826,1.4560646,1.3332981,1.3027492,1.4298432,1.4453048,1.3151277,1.3901038,1.328363,1.3286088,1.3895893,1.3933947,1.387272,1.3092875,1.2816631,1.3092875,1.3587567,1.2100645,1.3219739,1.8889328,1.9657631,1.8638978,2.0525591,1.7869197,1.8867474,1.9249736,1.9303639,1.9632365,1.8733562,1.8850845,2.0219588,2.0077612,1.8765188,1.8840361,1.9570345,2.1003022,1.904761,2.014848,1.7849108,2.0476167
"RTF1",1.1352892,0.98642087,1.0286386,1.0309293,1.0584369,1.1946837,1.3068668,0.98605484,1.0420775,1.4279934,1.0744555,1.4051414,1.1254377,1.0722651,1.0772481,1.0370655,0.92494786,1.3665954,1.0830572,1.0890981,1.1401412,1.0915246,0.64512074,1.1705625,1.1878365,1.1084541,1.0909173,1.1185721,1.134237,1.8953992,1.1233528,1.0118014,1.5183885,1.1479912,1.1518297,1.0686923,1.2733759,1.2957672,1.0945648,1.1283637,1.3526657,1.1287824,1.0611883,1.0403403,1.0700808,1.0967999,0.75190264,1.0804492,0.3635209,0.3776758,0.36799327,0.29594976,0.4930843,0.3719464,0.37124994,0.3230203,0.3831273,0.36709774,0.37142524,0.38732168,0.3838184,0.2922718,0.2811319,0.38289413,0.38610277,0.31189522,0.38890505,0.46778354,0.3926733
"CXCR6",1.2707431,1.3409501,1.1847216,1.2347388,1.2632254,1.2301677,1.2660389,1.2116038,1.2432399,1.2053297,1.0584054,1.2487856,1.2441627,1.3729041,1.28854,1.2783062,1.2899743,1.3058593,1.2892576,1.3068279,1.3114399,1.35319,1.2926089,1.3903258,1.4224013,1.3404524,1.3549476,1.3312874,1.3846655,1.4606239,1.3808192,1.2799665,1.2695658,1.3790282,1.3818442,1.2473966,1.3322749,1.2969303,1.2945274,1.3446857,1.34587,1.3354911,1.2785434,1.2441626,1.2959688,1.3092535,1.1759671,1.2835325,1.2801021,1.7098472,1.6672977,1.7846817,1.6201588,1.6934417,1.7206408,1.6840453,1.7151653,1.6548432,1.6716006,1.7603583,1.7431426,1.6785878,1.6381524,1.7158823,1.7554696,1.6787442,1.7668995,1.5906672,1.8510816
"ANKIB1",1.0730821,0.9806041,1.2537198,0.73183304,0.6318732,1.0088235,0.6908223,0.9849775,0.81041133,0.9115145,0.78105134,0.9702943,0.8642726,0.8275721,0.7513599,0.49495697,0.7058429,0.99415374,0.90864676,0.60291314,0.61716616,0.86123276,1.7508196,0.9372254,0.8477644,1.0461645,0.8331155,0.694161,0.716525,0.81432754,0.88404757,1.1039631,1.769094,0.7268297,0.770121,0.95193803,1.03076,0.9796959,2.0341947,0.7655651,1.0149698,1.2941118,1.0034137,0.87686366,1.0233325,0.8539176,0.82298136,1.3375403,51.291462,34.033398,39.583145,27.142797,30.395113,22.422026,24.964514,27.55868,24.172434,21.935621,44.211777,24.316362,15.732809,20.542648,33.00787,60.472607,22.649265,57.285255,31.606234,22.756552,21.679464
"SLC25A46",0.4464244,1.2294244,0.7378926,0.52292883,0.2546676,0.7031601,0.6745511,0.8125881,0.64339703,1.5532951,1.5329801,0.4438656,0.8930217,1.5509932,1.1558033,0.51666415,0.9362639,1.2666816,1.6400251,1.3152721,1.4355793,0.27184498,0.5883859,2.3047786,1.6775504,1.4689722,1.8573276,0.884124,1.2528987,1.9892325,1.4995222,0.4210168,0.67580336,2.0253386,1.5923759,2.0317323,1.1868622,1.6021501,1.1362526,1.6872215,1.990987,1.7626976,0.8473664,1.2104223,1.0341036,1.6276034,0.55376774,0.59221715,11.017964,13.277546,9.344826,8.527163,19.745995,5.3824663,5.016158,8.860836,9.510943,17.734985,11.536494,14.165245,7.46971,4.3885965,7.5253167,18.150867,12.321482,17.467329,10.906162,14.250346,19.192778
"ZNF621",1.515756,0.7653573,1.0837891,1.4342685,1.4102695,1.4324081,0.99443686,1.3396589,1.3531411,0.7926569,0.5496829,1.6800636,0.8434587,0.52235454,0.7025185,0.6522955,0.49454767,1.0143657,0.5977415,0.5451151,0.53858376,1.7821127,2.4164119,0.46996072,0.42502287,0.5164793,0.5308501,0.7388611,0.45487028,0.25756794,0.48249987,1.0878158,1.4791058,0.37321454,0.5372874,0.53223,0.7060447,0.61062497,1.1329013,0.44231048,0.691244,0.81758726,1.1387992,1.0132374,1.0055631,0.59862846,1.6838061,1.1722236,12.930106,6.995115,6.6249666,6.0452657,5.3764167,9.807876,12.815848,8.089714,6.0175567,4.474153,10.383201,3.4453857,8.813316,12.791839,10.414045,7.9587708,4.168947,12.685479,6.346217,4.167317,4.5629535
"CTBP1",1.1538023,1.2263852,1.0578932,1.1244421,1.1542306,1.119449,1.1693103,1.1122069,1.1393445,1.1095296,1.1767064,1.1321844,1.150171,1.2577068,1.1767063,1.1602389,1.1791089,1.1889895,1.1832712,1.1980629,1.1936278,1.2204866,1.1512381,1.2626147,1.2955817,1.2207129,1.3752974,1.2593405,1.2556096,1.2967832,1.3679214,1.1623923,1.1520922,1.4093764,1.2684815,1.1821736,1.222525,1.1982855,1.1885478,1.2357454,1.2363751,1.300155,1.1602387,1.1380779,1.1812973,1.2067589,1.087329,1.1675775,1.4424001,1.4800619,1.4367534,1.596682,1.4281607,1.4489241,1.5841523,1.4601622,1.7777218,1.432719,1.4499092,1.5288794,1.5069253,1.4429613,1.4588089,1.5195524,1.5690907,1.505528,1.5314336,1.3384718,1.5523049
"RPLP2P1",2.524511,2.6101968,2.0851986,2.5532284,2.4105961,2.2361877,2.5338907,2.1364715,2.4970415,2.1579738,2.0713265,2.5518105,2.5362422,2.765665,3.122836,2.6758695,3.1361823,2.9841342,2.5268536,3.6491945,2.59716,2.9478354,3.0797048,2.8749568,3.3676426,2.771827,2.6748767,3.0158443,3.1936955,2.5703301,3.2667708,3.3688922,2.560342,3.1414213,2.8861752,2.2382636,2.1202905,2.0189927,3.100332,2.7513442,2.7117083,3.890282,2.59668,2.175249,2.418657,3.321748,2.1551752,2.4634693,1.1126748,1.1026103,1.2321469,1.7200508,1.2837821,1.6254985,1.3491651,1.1343418,1.4355273,1.1678288,1.0896026,1.3695114,1.3933343,1.401231,0.962122,1.1135005,1.6491507,1.0622697,1.4323686,0.97202784,1.2794107
"LINC03007",1.1844174,1.4635023,0.9905369,1.1402372,1.1737043,1.2291679,1.1754467,1.1491524,1.1831001,1.1093704,1.1609335,1.1719644,1.3636726,1.235567,1.1474496,1.1990021,1.3684859,1.2246187,1.2319074,1.3886802,1.2282568,1.2772678,1.1956719,1.7054282,1.331192,1.2376307,1.2690048,1.25171,1.6041958,2.7304044,1.3576171,1.1930139,1.1844177,1.4683956,1.3331686,1.0721568,1.1826613,1.1870563,1.1470239,1.2640733,1.2843332,1.2449971,1.1761006,1.1932356,1.177192,1.1879365,1.6915705,1.2212173,0.4637347,0.4868211,0.515774,0.53036636,0.559489,0.5176144,0.5234691,0.49676138,0.52740854,0.6524511,0.47876415,0.5021328,0.5212018,0.5108668,0.43178192,0.5504053,0.51572186,0.48727268,0.5246927,0.9479777,0.5315478
"DNAAF8",0.7726537,0.81761277,0.7372418,0.7626889,0.7745187,0.7495097,0.7808639,0.7301668,0.7605707,0.6866979,0.78115386,0.7769643,0.76453,0.81111896,0.78624004,0.7786948,0.7963646,0.81609815,0.88860196,0.7710791,0.800213,0.802591,0.9005454,0.84881985,0.8595906,0.8298318,0.8425468,0.8298322,1.088253,0.88777786,0.95029867,0.8021446,0.77236736,0.8395835,1.1158406,0.7785505,0.81655186,0.90288633,0.7535516,0.8815449,0.8256495,0.81670386,0.7316581,0.76936555,0.7364222,0.81066823,0.7453524,0.8014013,0.6726721,0.46968883,0.59868366,0.5689603,0.53942806,0.61012655,0.5976748,0.5085801,0.59677875,0.5689236,0.5381731,0.5699104,0.6372176,0.6031898,0.53202116,0.5550997,0.56991076,0.49051824,0.5702278,0.57041866,0.5688547
"SERPINF2",0.8507753,0.8991124,0.815404,0.8432361,1.1767052,0.8300491,0.8660562,0.8416738,0.8345251,0.8448016,0.7825184,0.8368499,0.6905813,0.8370046,0.8673422,0.87201893,0.8673422,0.87558395,0.87185776,0.8757457,0.87509644,0.9647536,0.856633,0.89844567,0.94492394,0.8660562,0.9074876,0.89164084,0.9147523,0.92997426,0.923958,0.85854095,0.8480978,0.9198555,0.9196848,0.8596563,0.87428564,0.8525128,0.88735205,0.90614265,0.9049247,0.8942903,0.85599756,0.8441754,0.9171301,0.8780225,0.79657364,0.8446452,0.6197135,0.6136529,0.638991,0.5820641,0.62736,0.6509604,0.65059465,0.62293994,0.66079575,0.6422337,0.61810714,0.6356586,0.68625325,0.8373141,0.83732986,0.5582781,0.64408344,0.64312834,0.72416747,0.6236082,0.6523772
"METTL26",1.4877204,1.5737042,1.3283591,1.4370158,1.4921415,1.458222,1.4712597,1.4453001,1.4698961,1.4038299,1.4808402,1.4603878,1.4359509,1.6165915,1.499353,1.4932485,1.8709434,1.5305345,1.4924188,1.5643927,1.560337,1.6612645,1.6037533,1.6904761,1.6889089,1.560337,1.601079,1.6594169,1.6600325,1.6917295,1.769704,1.6389277,1.4822137,1.6138965,1.6621895,1.2795222,1.5450772,1.472352,1.4571415,1.5898371,1.5727558,1.5606275,1.469079,1.4849651,1.4855154,1.5367908,1.40305,1.5082766,1.0666833,1.1390541,1.2644659,1.1946527,1.0621741,1.2761338,1.3535031,1.1193717,1.3502073,1.2493865,1.0740275,1.1539357,1.3095001,1.2566683,1.0900792,1.1235306,1.193324,1.07622,1.2959719,1.1915168,1.192218
"AK8",0.77282256,0.8141601,0.7337205,0.7558154,0.7701048,0.7500908,0.77511907,0.74372,0.8883015,0.73549134,0.7804559,0.8671441,0.76313925,0.7565164,0.784373,0.78045565,0.82418525,0.8708507,0.7865582,0.7937371,0.8433562,0.96739906,0.7835009,0.8677873,0.86634004,0.8129531,0.9682968,0.814311,0.8410139,0.96346086,0.8510543,0.7848093,0.709766,0.8229637,0.8121999,0.68952805,0.75539535,0.78350085,0.71319616,0.819158,0.7358665,0.8146135,0.77182025,0.7560963,0.78175926,0.7984612,0.715183,0.78060055,0.5812804,0.5379264,0.6366164,0.62418133,0.6263185,0.6470838,0.6564917,0.59281933,0.64878404,0.6315056,0.5844151,0.6175038,0.6239496,0.63649714,0.45037255,0.6038028,0.6005648,0.49421862,0.61544627,0.6156098,0.6231403
"ZNF345",1.7776216,1.8038548,2.0045874,1.9298142,1.7948463,2.0733936,1.9173301,1.7199043,1.7648119,1.8547333,1.8015153,2.562425,1.9485139,1.8403442,1.7911882,1.6683873,1.9362677,2.839137,1.7278973,1.7595837,1.7530698,1.8859473,2.0584545,1.9208897,1.9212457,1.8132448,1.891902,1.8716636,1.858865,2.019511,1.9240974,2.5959015,1.7723558,1.8768767,1.8814071,1.813917,1.875832,1.8291173,1.7183108,1.9198222,1.8932177,1.8954141,1.7865441,1.7635046,1.8058629,1.8557658,1.666533,2.1314814,2.4610744,2.5066738,2.8957818,2.6520386,2.1954484,2.4692628,2.4817927,2.6407526,2.4508166,2.6042805,2.318426,2.6183214,2.573555,3.1247725,3.2503111,2.5521688,2.9740589,2.669799,3.1611488,2.3285527,2.6212366
"RAE1",4.298472,5.8154545,6.469793,4.954531,4.865312,6.1049647,5.08673,5.6308103,5.4987288,8.511364,7.560291,2.9792032,5.340956,10.419839,8.386029,5.0744815,8.227376,8.5652,11.360302,6.746692,6.55918,3.4897537,4.8553963,9.060226,9.86515,7.6095147,7.5378933,6.509505,6.5421734,10.316017,9.385127,3.3446655,5.566442,7.899959,9.250359,8.81005,7.546282,7.9513984,10.7495575,8.409392,8.811275,9.640901,5.8143773,6.9640527,6.9705167,8.490869,0.6043965,0.719888,0.81732166,0.82569987,0.7715844,0.84443676,1.0994285,0.67720765,0.5930395,0.76667106,0.9226744,1.106458,0.79107785,1.0119698,0.55431455,0.514391,1.0531304,1.2955014,0.8428721,1.0484538,0.7932814,1.2973351,1.0816308
"MYEOV",1.2531813,1.340938,0.92869294,1.0788047,1.0996085,1.0521334,1.0914819,1.1515702,1.0824118,0.97312015,1.0951316,1.0688491,1.0714288,1.1919823,1.3905715,1.1899949,1.2154187,1.1356667,1.125812,1.2208397,1.1379848,1.1477339,1.2759262,1.2053193,1.3136193,1.0674622,1.1750845,1.1541364,1.1729068,1.2219722,1.1964117,1.110468,1.0961474,1.3265934,1.3599699,1.1199813,1.1584245,1.085427,1.1316719,1.4965272,1.1728524,1.1610059,1.105127,1.070833,1.0981818,1.1228925,1.0268838,1.1166635,1.3605404,1.582509,1.6082869,2.1063404,1.6316694,1.6286135,2.4438303,1.3978791,1.632893,1.5745783,1.5195312,1.5203762,1.9492415,1.839303,1.523198,1.4469337,1.5984355,1.3524909,1.8088847,1.5251924,1.6459602
"PTCD1",1.2566125,1.3401291,1.2115362,1.1583697,1.2654992,1.2023597,1.264326,1.194581,1.2461705,1.2294153,1.284651,1.2491788,1.2633889,1.3733362,1.2894241,1.2749208,1.2910986,1.3223559,1.2768141,1.3036083,1.3899889,1.3990405,1.3130707,1.3915375,1.4186338,1.3334359,1.355877,1.3287466,1.3769065,1.4273415,1.3954135,1.282746,1.2589453,1.3884445,1.4120729,1.2610481,1.3366544,1.2260005,1.3011932,1.3496062,1.3525497,1.3406266,1.2735028,1.2287314,1.2680832,1.3118533,1.1870747,1.2932558,0.9580262,1.0460446,1.107888,1.1085552,1.0709292,1.1187403,1.3124741,1.0414,1.1320302,1.0729386,1.0066535,1.0916235,1.2549715,1.1320306,0.9990289,1.0789452,1.0825527,1.0450749,1.0900058,1.0559784,1.107117
"HOXA7",1.2724236,1.3365132,1.1302409,1.2279179,1.2721883,1.416118,1.2712448,1.1953417,1.2648958,1.1753402,1.3114719,1.278337,1.1953422,1.3800836,1.2597463,1.3640554,1.3109853,1.313906,1.2606816,1.3439684,1.4715331,1.6256102,1.3512161,1.457142,1.4477148,1.3434702,1.3793164,1.3517175,1.4582229,1.4367496,1.5276989,1.3276207,1.2747858,1.3988929,1.4250755,1.1849691,1.334779,1.180145,1.1865084,1.4148068,1.3329861,1.3522189,1.3803399,1.1762127,1.1764308,1.3134181,1.1601827,1.2324811,1.6519166,1.7354422,1.5449282,1.8868214,1.4451948,1.7434834,2.1287255,1.7051386,1.6370574,1.5054756,1.5876483,1.7682513,1.982591,2.0206342,1.6688517,1.6592853,1.7477145,1.4785271,1.8418803,1.372326,1.8422215
"TRAV10",0.94361,0.98618793,1.0360519,0.85464865,0.9184063,0.86421055,0.9326507,0.8183572,0.9057214,0.870645,0.90019655,0.905554,1.144532,1.1709365,0.9371584,0.9267891,0.9429107,1.0523165,0.95010734,0.9559384,0.9504587,1.0331743,0.9314415,1.0225008,1.0862193,1.0356672,1.0226905,1.0247788,1.1121035,1.0352836,1.0488096,1.0011121,0.972387,1.0714155,1.2344844,0.88496923,0.97980756,0.9469408,1.037782,0.9779932,0.9907242,0.9909542,1.1028619,0.8986953,0.8737184,1.1373385,0.8491205,0.87371844,1.1012437,1.1447614,1.3506471,1.2818604,1.3238268,1.481416,1.4847529,1.0866392,1.4934053,1.4441267,1.2400095,1.1853738,1.3900602,1.5568646,1.0404961,1.3416888,1.1798918,1.1390444,1.2004158,1.382669,1.2203913
"CCDC40",0.8154237,0.8519014,0.7585348,0.771014,0.8101489,0.77330464,0.8064017,0.7337698,0.8016305,0.7263246,0.8070004,0.8053557,0.79821897,0.87398267,0.8236304,0.8303778,0.8240885,0.8317648,0.82653755,0.8451354,0.8615922,1.0592929,0.83998007,0.90331227,0.9217559,0.86913407,0.8728493,0.8953077,0.98411137,0.84029126,0.91257197,0.8946436,0.81769526,0.9824704,0.95764816,0.769158,0.8504806,0.80969834,0.8049079,0.85713077,0.8610734,0.8553843,0.80401254,0.7447366,0.80789846,0.8410708,0.753069,0.876255,0.6129392,0.6294102,0.6822955,0.6928675,0.60880077,0.65928686,0.74821496,0.62976056,0.6732747,0.62886745,0.68076885,0.65964264,0.83125436,0.73500854,0.45439842,0.63397866,0.6554971,0.61135006,0.6666521,0.55422837,0.7099049
"IGLV3-19",1.178284,1.2805882,1.0073938,1.1721817,1.1908045,0.97486556,1.2027881,1.0827463,1.1583526,1.1383371,1.1451123,1.1824431,1.1215748,0.97215784,1.2182769,1.2103953,1.1852969,1.2355682,1.225074,1.2383199,1.2385497,1.5058988,1.2175999,1.3220909,1.3455874,1.2631358,1.2829653,1.2614973,1.3334162,1.4246757,1.4994894,1.2531042,1.1956725,1.3016566,1.3128079,1.2157942,1.253801,1.2257553,1.2203115,1.375101,1.2783937,1.298764,1.2045739,1.1774106,1.2160201,1.2394689,1.115353,1.2126426,1.5332161,1.4175484,1.5312259,1.8299216,1.4954835,1.6074015,1.5849618,1.5935091,1.6001858,1.6249726,1.4955887,1.7350786,1.9292313,1.5462247,1.1669669,1.6997297,2.148693,1.5017015,1.7305806,1.2906048,1.8990623
"KHSRP",0.6817776,0.8784802,0.67410934,0.6604979,0.7113529,0.69595605,0.7193113,0.6801359,0.7033513,0.6929945,0.7683994,0.67298543,0.70035815,0.7734022,0.72735935,0.71346635,0.7272244,0.74345046,0.75288457,0.7363157,0.74552083,0.7778612,0.71784616,0.79654515,1.0058223,0.8271008,0.7709684,0.8176465,1.0961975,0.8044119,0.7826356,0.7201121,0.71240884,0.7989119,0.7921262,1.0788541,0.81492156,0.74234843,0.73060346,1.197133,0.8203422,0.7699684,0.7117485,0.70087796,0.6874906,0.96866363,0.6623382,0.71135294,0.5036774,0.523193,0.525925,0.54801875,0.5263196,0.53758705,0.46716768,0.51224923,0.4744038,0.52799946,0.5137713,0.53735185,0.5316036,0.5444835,0.5078982,0.5304219,0.48759523,0.512154,0.5069573,0.5203357,0.5441706
"AVPR1B",1.6236341,1.7088958,1.8558928,1.5738326,1.6140292,1.6161243,1.8110158,1.5500827,1.5905563,1.5590194,1.6555583,1.5979475,1.812697,1.7754378,1.6418004,1.6345093,1.9741055,1.6753231,1.9631556,1.6731492,1.6793655,1.6697401,1.6242373,1.7893195,1.8123604,1.7770838,2.0916886,1.7101641,1.9349637,1.8302598,1.7597047,1.6369361,1.6203265,1.764934,1.7682103,1.6418003,1.7035166,1.7492939,1.6626339,1.7379781,1.7395087,1.7066792,1.6191249,1.6311795,1.6260452,1.6881087,1.4757533,1.627856,1.7577481,1.8046474,2.0118062,2.0643308,2.0231519,2.0672388,1.8349065,1.920309,2.0820165,2.0091684,1.8937876,2.0245252,2.0305412,2.0337996,1.9781379,1.9913869,2.0448997,1.9973041,2.0328014,2.137781,2.0574517
"LINC02987",3.1246173,2.7259915,2.4389584,5.1445937,5.7139053,3.2414734,5.0360475,2.5689378,4.6968765,2.689838,2.4767876,3.5610087,3.2692413,3.3896196,3.0746136,5.568509,3.2056081,3.5386276,3.2444828,3.6008482,2.4521098,3.0108585,3.7703118,2.798726,3.317487,3.1519692,2.278499,2.411973,3.197891,3.9236655,3.8903387,2.8638237,3.5399404,2.9174235,2.2937593,2.7442503,1.6544285,2.6194484,2.2192836,3.1240406,2.1627114,2.6316206,4.148894,2.632109,3.080321,3.158405,1.111942,1.3534664,0.74568653,0.9509018,1.3955886,1.3527882,1.2399035,1.4410472,1.3180364,1.0933963,1.6673063,0.76991534,1.1385025,1.0839082,1.3492806,1.1028243,1.6619645,0.9539045,0.91052324,0.90044844,1.0398078,1.3237315,0.97935635
